BF,dataset,dim,size,nonlinearity,mean,harmonic_mean,standard_deviation,median,MSE_PRSM_1,RMSE_PRSM_1,MAE_PRSM_1,MSE_PRSM_2,RMSE_PRSM_2,MAE_PRSM_2,gradient1,gradient2,gradient3,gradient4
BF33,BF33_7,2,84,0.984508282,-1.27E-16,-1.169871735,1,-0.166226142,0.999760007,0.999879996,0.84074978,8.37E-10,2.89E-05,2.59E-05,0.003296663,0.004733417,0.133541685,0.000116851
BF33,BF33_8,2,96,0.951398766,2.78E-17,-6.400187956,1,-0.193179913,0.99763792,0.998818262,0.836939036,8.82E-10,2.97E-05,2.61E-05,0.000224017,0.006468051,0.111918256,1.29E-05
BF33,BF33_9,2,108,0.878609018,-2.28E-16,-1.627037835,1,-0.134242659,0.985264229,0.99260477,0.84143152,1.19E-09,3.45E-05,3.05E-05,0.008753803,0.018486116,0.110148092,0.001469148
BF33,BF33_10,2,120,0.867907755,7.40E-17,-1.102407952,1,-0.08345722,0.982551639,0.991237428,0.841160047,1.15E-09,3.39E-05,3.13E-05,0.002119265,0.009553558,0.115467587,0.000175344
BF34,BF34_1,2,12,0.234747901,-1.30E-16,-0.722101047,1,-0.284904108,0.414389225,0.643730709,0.608553842,0.050676838,0.225115166,0.18129888,-0.070638299,0.021897116,0.417105802,0.003708352
BF34,BF34_2,2,24,0.467639088,5.55E-17,-0.277985039,1,-0.278531369,0.71659186,0.846517489,0.655432446,0.068211211,0.26117276,0.225400434,-0.011428828,0.017784935,0.313668473,0.000648012
BF34,BF34_3,2,36,0.52009665,-6.36E-17,-0.341994418,1,-0.365227358,0.769692775,0.877321364,0.647616769,0.034001092,0.18439385,0.154204748,-0.029904707,0.011318107,0.128265966,0.002638772
BF34,BF34_4,2,48,0.558383291,3.70E-17,-0.272948889,1,-0.279261417,0.804974682,0.897203813,0.633873922,0.061917003,0.248831274,0.210639779,-0.018407265,0.019276193,0.135145629,0.002625479
BF34,BF34_5,2,60,0.501683294,6.48E-17,-0.201610334,1,-0.240044919,0.75168046,0.866995075,0.677500185,0.071126543,0.2666956,0.209736105,-0.014222693,0.009554901,0.220424831,0.00061652
BF34,BF34_6,2,72,0.38672291,4.93E-17,-0.619078753,1,-0.238920311,0.623891211,0.789867844,0.64308748,0.077073656,0.277621426,0.227738327,-0.032076553,0.000738713,0.1333113,0.000177745
BF34,BF34_7,2,84,0.58472287,-7.14E-17,-0.068009907,1,-0.23225803,0.827544905,0.909694952,0.671509422,0.145082652,0.380897167,0.265929608,-0.003525606,0.044707768,0.211396292,0.000745623
BF34,BF34_8,2,96,0.665914864,-1.06E-16,-2.998970029,1,-0.366109987,0.888387122,0.942542902,0.671020696,0.097403486,0.312095315,0.258313001,-0.023613682,0.000442386,0.101548996,0.00010287
BF34,BF34_9,2,108,0.576573751,-1.51E-16,-5.079569066,1,-0.226248354,0.820710211,0.905930578,0.637306984,0.141591671,0.376286687,0.282170979,-0.023175776,0.012106481,0.201570783,0.001391953
BF34,BF34_10,2,120,0.677372171,1.22E-16,-0.450387121,1,-0.294827145,0.895911284,0.946525902,0.756326662,0.130092228,0.360683002,0.282707751,-0.014058991,0.000541551,0.142783508,5.33E-05
BF35,BF35_1,5,42,0.716099768,-1.64E-16,-1.673232525,1,-0.028886084,0.919400658,0.958853825,0.712700743,2.80E-30,1.67E-15,1.33E-15,-0.01705027,0.034403005,0.379018671,0.003115197
BF35,BF35_2,5,84,0.696372741,6.30E-16,-0.120825032,1,-0.134252226,0.907810488,0.952790894,0.779048619,3.85E-30,1.96E-15,1.46E-15,-0.007305819,0.033412566,0.392168438,0.002202599
BF35,BF35_3,5,126,0.754553281,6.96E-16,-1.789848255,1,-0.241771203,0.939755908,0.969410083,0.795168513,1.11E-29,3.33E-15,2.57E-15,0.035797443,0.018288704,0.354650015,0.001853585
BF35,BF35_4,5,168,0.865582853,-3.33E-16,-0.60773458,1,-0.106546153,0.981932031,0.990924836,0.829294843,6.26E-30,2.50E-15,2.07E-15,-0.004067586,0.029908673,0.289148845,0.001913957
BF35,BF35_5,5,210,0.917081565,3.82E-16,-0.177178509,1,-0.014955305,0.993124533,0.996556337,0.808855748,6.12E-30,2.47E-15,1.95E-15,0.019320068,0.022617454,0.305218476,0.001828565
BF35,BF35_6,5,252,0.92550542,1.55E-16,-1.406751828,1,-0.209054301,0.994450558,0.997221419,0.81529653,1.71E-30,1.31E-15,1.05E-15,0.007040707,0.022389859,0.301430248,0.000981853
BF35,BF35_7,5,294,0.869987155,2.78E-16,-3.653061477,1,-0.064062373,0.98309666,0.99151231,0.775578003,1.53E-30,1.23E-15,9.03E-16,-0.004024875,0.00719749,0.293719141,9.61E-05
BF35,BF35_8,5,336,0.867834057,1.69E-16,-2.677826512,1,-0.020837563,0.982532164,0.991227604,0.81385311,4.65E-30,2.16E-15,1.71E-15,-0.001994162,0.008536714,0.264874751,7.74E-05
BF35,BF35_9,5,378,0.925952042,-4.11E-17,0.182685075,1,-0.119762869,0.9945169,0.997254682,0.82113225,2.76E-30,1.66E-15,1.32E-15,-0.010062021,0.015216421,0.269921571,0.000379128
BF35,BF35_10,5,420,0.892169191,-1.10E-16,-2.968756802,1,-0.033951546,0.988372517,0.994169259,0.80609165,3.98E-30,1.99E-15,1.60E-15,0.00484433,0.013658501,0.258160925,0.000405024
BF36,BF36_1,8,90,0.848044273,-3.86E-16,-4.03943445,1,-0.068979173,0.976909457,0.988387301,0.826340911,4.70E-30,2.17E-15,1.68E-15,-0.021284297,0.063613899,0.382255977,0.008992341
BF36,BF36_2,8,180,0.803686759,1.38E-16,-0.407314754,1,-0.010292614,0.961461111,0.980541234,0.813346388,3.45E-30,1.86E-15,1.48E-15,0.000752999,0.016882727,0.38694353,0.000244574
BF36,BF36_3,8,270,0.864281179,1.74E-16,-2.061486071,1,-0.107194395,0.981580402,0.990747396,0.805888656,1.24E-29,3.52E-15,2.72E-15,-0.004475388,0.024100993,0.384289966,0.000726083
BF36,BF36_4,8,360,0.85758196,1.01E-16,0.047527623,1,-0.0137098,0.979717102,0.989806598,0.799614895,3.93E-30,1.98E-15,1.58E-15,0.001120699,0.023017158,0.385408584,0.000699749
BF36,BF36_5,8,450,0.91453093,-5.92E-17,-0.02225598,1,-0.033341883,0.992695038,0.996340824,0.815841381,4.50E-30,2.12E-15,1.66E-15,-0.002722146,0.022662081,0.356299095,0.000847586
BF36,BF36_6,8,540,0.882715721,3.74E-16,0.801636548,1,-0.055933938,0.986244398,0.993098383,0.797340902,5.18E-29,7.20E-15,5.68E-15,-0.002853978,0.01084986,0.380909588,0.000204284
BF36,BF36_7,8,630,0.86491022,2.82E-18,-3.121269621,1,-0.074478938,0.981750751,0.990833362,0.795126275,3.58E-30,1.89E-15,1.50E-15,-0.010606143,0.015948049,0.362829139,0.000783641
BF36,BF36_8,8,720,0.919626592,-3.11E-16,-2.514205498,1,-0.0854932,0.993540115,0.996764824,0.812156514,7.68E-30,2.77E-15,2.28E-15,-0.005071803,0.015321064,0.352735949,0.000339128
BF36,BF36_9,8,810,0.87200427,-3.87E-16,2.783468122,1,-0.032770473,0.983617093,0.991774719,0.812591537,8.30E-30,2.88E-15,2.24E-15,0.003767775,0.005166342,0.340284985,6.00E-05
BF36,BF36_10,8,900,0.913915045,-9.67E-17,0.364476951,1,-0.064194286,0.992589381,0.9962878,0.808635825,3.50E-30,1.87E-15,1.48E-15,-0.001755893,0.010400145,0.334204909,0.000161519
